name,province,lat,lon,featured,flood_depth_small_prob,flood_depth_large_prob,drought_stress_now,drought_stress_2050,heat_island,feels_like_heatwave,subsidence_2050,subsidence_2100,nitrogen_total,nitrogen_potential_acid,nitrogen_nhx,nitrogen_noy
Rotterdam,Zuid-Holland,51.9244,4.4777,False,-9999.0,-9999.0,,,2.492000102996826,55537.0,0.027836719089879256,0.050405567352337005,2259.0,2855.0,1652.0,607.1
Den Haag,Zuid-Holland,52.0705,4.3007,False,-9999.0,-9999.0,,,2.736999988555908,55537.0,0.013000900887957335,0.023349743632530805,1955.0,2524.0,1454.0,501.4
Utrecht,Utrecht,52.0907,5.1214,False,-9999.0,-9999.0,,,2.1989998817443848,41.0,0.009300203391348743,0.014249738935935464,2095.0,2636.0,1547.0,548.0
Amersfoort,Utrecht,52.1561,5.3878,False,0.9851999878883362,-9999.0,,,1.8329999446868896,37.0,0.0,0.0,1867.0,2383.0,1385.0,482.4
Eindhoven,Noord-Brabant,51.4416,5.4697,False,-9999.0,-9999.0,,,2.299999952316284,55537.0,0.0,0.0,1948.0,2488.0,1447.0,500.9
Tilburg,Noord-Brabant,51.5555,5.0913,False,-9999.0,-9999.0,,,2.197000026702881,48.0,0.0007937404768381126,0.001195780594636565,2162.0,2721.0,1667.0,494.6
Breda,Noord-Brabant,51.5719,4.7683,False,-9999.0,-9999.0,,,0.8960000276565552,49.0,0.0,0.0,1867.0,2438.0,1423.0,443.9
Maastricht,Limburg,50.8514,5.691,False,-9999.0,-9999.0,,,1.784000039100647,55537.0,-1.0,-1.0,1465.0,2055.0,1046.0,418.8
Venlo,Limburg,51.3704,6.1724,False,0.004999159835278988,0.004999159835278988,,,1.5369999408721924,55537.0,0.0,0.0,1454.0,2008.0,1074.0,380.3
Groningen,Groningen,53.2194,6.5665,False,-9999.0,-9999.0,,,1.930999994277954,55537.0,0.0,0.0,1991.0,2454.0,1583.0,408.1
Leeuwarden,Friesland,53.2012,5.7999,False,-9999.0,-9999.0,,,1.3140000104904175,55537.0,0.016737190513394146,0.031731576884358424,1960.0,2420.0,1569.0,391.4
Assen,Drenthe,52.9925,6.5641,False,-9999.0,-9999.0,,,0.7889999747276306,44.0,0.0,0.0,1428.0,1892.0,1070.0,357.8
Zwolle,Overijssel,52.5168,6.083,False,1.5299999713897705,-9999.0,,,1.1130000352859497,37.0,0.0,0.0,1842.0,2322.0,1358.0,483.9
Enschede,Overijssel,52.2215,6.8937,False,-9999.0,-9999.0,,,2.009999990463257,50.0,0.0,0.0,1910.0,2431.0,1491.0,418.8
Lelystad,Flevoland,52.5185,5.4714,False,2.1500000953674316,-9999.0,,,0.9390000104904175,35.0,0.6882181534400353,0.6471720706211047,1482.0,1964.0,1112.0,370.0
Almere,Flevoland,52.3508,5.2647,False,2.5199999809265137,-9999.0,2.0,3.0,0.12600000202655792,33.0,0.03712162088889342,0.06381123923183826,1365.0,1869.0,889.4,475.6
Middelburg,Zeeland,51.4988,3.6136,False,-9999.0,-9999.0,,,1.1829999685287476,55537.0,0.04650343855414279,0.0853172918568293,1706.0,2227.0,1290.0,416.3
Vlissingen,Zeeland,51.4426,3.5736,False,-9999.0,-9999.0,,,0.8230000138282776,43.0,0.030825050722643774,0.05256462815631729,1489.0,2026.0,1122.0,367.2
Dordrecht,Zuid-Holland,51.8133,4.6901,False,0.9718061089515686,0.5475705862045288,,,0.8230000138282776,34.0,0.02840381184458227,0.05452636404301751,1500.0,2046.0,1115.0,385.1
Schiedam,Zuid-Holland,51.9165,4.3988,False,-9999.0,-9999.0,,,2.0980000495910645,55537.0,0.03531287329998695,0.06724213901398739,1923.0,2588.0,1404.0,519.0
Zaanstad,Noord-Holland,52.4389,4.8262,False,-9999.0,-9999.0,,,1.968999981880188,55537.0,0.36892659793292915,0.9724540052783317,1570.0,2139.0,1101.0,468.7
Alkmaar,Noord-Holland,52.6324,4.7534,False,-9999.0,-9999.0,,,1.3320000171661377,42.0,0.01898173928323576,0.03277244531578047,1566.0,2112.0,1156.0,409.6
